date,addresses_count_active,addresses_count_sender,addresses_count_receiver
2023-08-01,283863,201032,176667
2023-07-31,332844,246310,193317
2023-07-30,304170,235014,178160
2023-07-29,284662,210923,170259
2023-07-28,282402,200895,175298
2023-07-27,274167,195096,169200
2023-07-26,280296,199923,169210
2023-07-25,267694,187642,166586
2023-07-24,291789,207830,171434
2023-07-23,280452,214165,156940
2023-07-22,284458,208639,165912
2023-07-21,328360,226757,193785
2023-07-20,292874,203111,184737
2023-07-19,328504,227847,198780
2023-07-18,349351,235144,218559
2023-07-17,272201,187553,171749
2023-07-16,271530,193797,159830
2023-07-15,299767,217212,169485
2023-07-14,353650,249793,198257
2023-07-13,326551,228709,193662
2023-07-12,296696,206917,182819
2023-07-11,340049,246272,186754
2023-07-10,338143,249629,181682
2023-07-09,273766,198140,161638
2023-07-08,281292,201012,175190
2023-07-07,262460,178295,169813
2023-07-06,238720,162838,154085
2023-07-05,230683,149020,150337
2023-07-04,280665,189396,175294
2023-07-03,311559,221716,182172
2023-07-02,279809,195547,168446
2023-07-01,309555,220115,184932
2023-06-30,343090,256153,196645
2023-06-29,309548,204468,200229
2023-06-28,340094,242154,191457
2023-06-27,318834,227904,192124
2023-06-26,303658,212926,183955
2023-06-25,278039,197824,166273
2023-06-24,286885,202752,172349
2023-06-23,285723,201193,176436
2023-06-22,308823,229961,176281
2023-06-21,342693,257390,185005
2023-06-20,291112,214845,168238
2023-06-19,336706,253365,170832
2023-06-18,342883,278220,144158
2023-06-17,338901,265436,156650
2023-06-16,385206,288400,191898
2023-06-15,370301,275236,187706
2023-06-14,337423,256889,171029
2023-06-13,300261,220676,174542
2023-06-12,305960,225882,169719
2023-06-11,354262,192140,240030
2023-06-10,387829,202338,269461
2023-06-09,349550,214107,226223
2023-06-08,287870,205844,171881
2023-06-07,355444,264453,194977
2023-06-06,334022,234154,196047
2023-06-05,363645,268865,192348
2023-06-04,292114,222734,166640
2023-06-03,306103,233730,172329
2023-06-02,321946,238754,182552
2023-06-01,288521,208896,173195
2023-05-31,329561,244289,189894
2023-05-30,333782,235479,208505
2023-05-29,313723,234875,173848
2023-05-28,278010,214839,153979
2023-05-27,306989,240713,165087
2023-05-26,311478,234024,178330
2023-05-25,308248,223076,187306
2023-05-24,302880,221681,179764
2023-05-23,312160,224973,186612
2023-05-22,297115,215020,179162
2023-05-21,298578,222670,174717
2023-05-20,308041,219508,185000
2023-05-19,305105,216835,190158
2023-05-18,294910,211697,181998
2023-05-17,308124,219384,191378
2023-05-16,307997,216657,193284
2023-05-15,310842,218043,193222
2023-05-14,299633,223550,176761
2023-05-13,313532,234578,179083
2023-05-12,314761,221396,194175
2023-05-11,297709,205930,192570
2023-05-10,301331,208556,192329
2023-05-09,323147,225676,206458
2023-05-08,321124,218080,209976
2023-05-07,292766,201930,190951
2023-05-06,308533,208043,208556
2023-05-05,347998,232670,235112
2023-05-04,303651,208842,196221
2023-05-03,292035,204054,186134
2023-05-02,287626,194579,192599
2023-05-01,292444,201401,191173
2023-04-30,275708,203637,165619
2023-04-29,272670,197485,159653
2023-04-28,297895,211497,180781
2023-04-27,287222,202866,175029
2023-04-26,294488,203085,180725
2023-04-25,289580,204820,173032
2023-04-24,263381,180992,165872
2023-04-23,240410,169294,150213
2023-04-22,248354,174055,155116
2023-04-21,292457,201131,180718
2023-04-20,294314,198622,192078
2023-04-19,293745,194171,197484
2023-04-18,297894,202536,191940
2023-04-17,288418,193271,186733
2023-04-16,285900,207685,165991
2023-04-15,378068,286094,191319
2023-04-14,387606,281823,214537
2023-04-13,350509,246173,204213
2023-04-12,325938,237518,190795
2023-04-11,348143,250850,202866
2023-04-10,311218,227674,179853
2023-04-09,273161,199129,161831
2023-04-08,292016,212499,173039
2023-04-07,341726,247129,197697
2023-04-06,318459,222728,193490
2023-04-05,347629,249788,209043
2023-04-04,326395,229742,201341
2023-04-03,322044,233749,190351
2023-04-02,308193,233407,176680
2023-04-01,329104,248192,183246
2023-03-31,370409,264708,222446
2023-03-30,370435,258546,212923
2023-03-29,352659,250402,201134
2023-03-28,340773,235355,208571
2023-03-27,343903,239800,213916
2023-03-26,321290,240266,190191
2023-03-25,341137,252475,204511
2023-03-24,348056,248703,215301
2023-03-23,350161,243975,213928
2023-03-22,340968,241545,196553
2023-03-21,335074,238486,195013
2023-03-20,347671,239983,205763
2023-03-19,298658,214466,170611
2023-03-18,314163,225914,177772
2023-03-17,325779,222799,190273
2023-03-16,287201,198158,170814
2023-03-15,330658,240308,179214
2023-03-14,332631,228921,191485
2023-03-13,407185,302808,188411
2023-03-12,281573,196539,157865
2023-03-11,259599,144130,180222
2023-03-10,293024,190371,181664
2023-03-09,309310,216615,179309
2023-03-08,285978,201704,164839
2023-03-07,286079,205087,168373
2023-03-06,290231,204401,169402
2023-03-05,274916,204782,152639
2023-03-04,282057,211670,153462
2023-03-03,320724,229560,181198
2023-03-02,334389,246769,176639
2023-03-01,309717,214061,185059
2023-02-28,286765,200084,171885
2023-02-27,321849,235654,170582
2023-02-26,342470,264463,178172
2023-02-25,329515,245308,175971
2023-02-24,338627,238922,192875
2023-02-23,327494,216620,196202
2023-02-22,290971,185109,187415
2023-02-21,298136,199295,181548
2023-02-20,284634,197566,175199
2023-02-19,260939,182616,157193
2023-02-18,267704,193493,156510
2023-02-17,292947,207793,174824
2023-02-16,302889,204933,185869
2023-02-15,298824,204488,185485
2023-02-14,306706,191634,196055
2023-02-13,284040,193715,168024
2023-02-12,268128,189179,159183
2023-02-11,270898,190766,158590
2023-02-10,294764,198721,179019
2023-02-09,280696,187231,176636
2023-02-08,299141,205405,184243
2023-02-07,301779,198322,191367
2023-02-06,299721,196190,188243
2023-02-05,325814,229098,186932
2023-02-04,302998,208186,185568
2023-02-03,285607,200147,170373
2023-02-02,300813,205044,183405
2023-02-01,288609,199853,172411
2023-01-31,290803,206892,170300
2023-01-30,293819,213573,168385
2023-01-29,263722,190544,151176
2023-01-28,263688,193426,149228
2023-01-27,315000,206356,195952
2023-01-26,280020,201977,161794
2023-01-25,259418,180479,155831
2023-01-24,264530,184556,162142
2023-01-23,247304,173090,147182
2023-01-22,242168,168263,144335
2023-01-21,275233,197973,155319
2023-01-20,276898,188610,172169
2023-01-19,263929,178792,160514
2023-01-18,277102,188148,169072
2023-01-17,283407,195936,172302
2023-01-16,292651,203968,173754
2023-01-15,284465,198908,164452
2023-01-14,318064,225166,180862
2023-01-13,282040,192784,171795
2023-01-12,300437,213471,169353
2023-01-11,282999,195535,170379
2023-01-10,291905,209366,166841
2023-01-09,316133,231563,166811
2023-01-08,542392,476484,133397
2023-01-07,282952,198712,161331
2023-01-06,285921,200842,165142
2023-01-05,409964,327890,158244
2023-01-04,294840,209527,166631
2023-01-03,240847,172042,140241
2023-01-02,229729,164176,134007
2023-01-01,191946,138327,111050
2022-12-31,235329,172621,131592
2022-12-30,263596,186434,154330
2022-12-29,249818,174746,150566
2022-12-28,270446,195046,153093
2022-12-27,262111,179264,155649
2022-12-26,268735,194269,142568
2022-12-25,263948,203490,121327
2022-12-24,267027,201102,148356
2022-12-23,286166,209776,172237
2022-12-22,270646,194006,159069
2022-12-21,269486,192954,154518
2022-12-20,258328,176826,158249
2022-12-19,262447,178257,158019
2022-12-18,219450,152645,131020
2022-12-17,288880,203541,160269
2022-12-16,330850,236766,174469
2022-12-15,298420,211220,167990
2022-12-14,281683,183902,176252
2022-12-13,300809,183551,196179
2022-12-12,414861,314108,174842
2022-12-11,423934,314536,177661
2022-12-10,329117,226483,168192
2022-12-09,1195648,1112769,152665
2022-12-08,260439,173176,158158
2022-12-07,264503,179493,158368
2022-12-06,285555,194126,173137
2022-12-05,283076,192726,164351
2022-12-04,325894,242106,152082
2022-12-03,328020,253675,145693
2022-12-02,331909,242429,164207
2022-12-01,264610,177811,163282
2022-11-30,286434,191537,170525
2022-11-29,310319,210167,172003
2022-11-28,378965,279395,171951
2022-11-27,293864,217271,142460
2022-11-26,323676,230399,159706
2022-11-25,326674,207352,189204
2022-11-24,334351,202999,202915
2022-11-23,297487,198205,176824
2022-11-22,270272,171259,171255
2022-11-21,267264,171638,167380
2022-11-20,271671,174809,167180
2022-11-19,296310,202443,162046
2022-11-18,324268,215323,183635
2022-11-17,341560,221943,198777
2022-11-16,328828,204048,199844
2022-11-15,325068,200974,201989
2022-11-14,304971,167834,206415
2022-11-13,307041,163684,212635
2022-11-12,300747,183889,187047
2022-11-11,310802,180170,205938
2022-11-10,306245,167990,212094
2022-11-09,313056,171259,213504
2022-11-08,298723,178412,196778
2022-11-07,294174,181113,191165
2022-11-06,271332,174788,174319
2022-11-05,285356,194729,165454
2022-11-04,282990,184524,173359
2022-11-03,291436,184080,188750
2022-11-02,276678,185092,170548
2022-11-01,310027,222184,170140
2022-10-31,295221,200051,174630
2022-10-30,291655,209051,159592
2022-10-29,287578,203103,155591
2022-10-28,267089,183166,159900
2022-10-27,337518,240342,186673
2022-10-26,317549,223480,173612
2022-10-25,287774,201226,166736
2022-10-24,277490,190214,164736
2022-10-23,284386,205096,152480
2022-10-22,271416,189831,153697
2022-10-21,295495,197219,177311
2022-10-20,303792,199646,182442
2022-10-19,267266,176287,162940
2022-10-18,272732,185008,159434
2022-10-17,284121,183538,171620
2022-10-16,248805,169474,141840
2022-10-15,291289,166937,192538
2022-10-14,315834,187726,202347
2022-10-13,324742,196656,204963
2022-10-12,319567,205337,193742
2022-10-11,332380,209307,216569
2022-10-10,360440,202885,259364
2022-10-09,355857,198863,260230
2022-10-08,402549,268600,226136
2022-10-07,374693,273992,180293
2022-10-06,397364,290399,186986
2022-10-05,344781,256162,166911
2022-10-04,325742,227195,173160
2022-10-03,315099,214936,169845
2022-10-02,349024,254421,167193
2022-10-01,334044,236285,168784
2022-09-30,338568,237691,185540
2022-09-29,342114,243660,171781
2022-09-28,313487,207408,181111
2022-09-27,327102,227258,176329
2022-09-26,342807,253943,158424
2022-09-25,343063,276043,131173
2022-09-24,386275,321083,134300
2022-09-23,356234,279456,153589
2022-09-22,328400,248111,157758
2022-09-21,329831,232606,173324
2022-09-20,338850,249288,168376
2022-09-19,332229,245698,164331
2022-09-18,352301,266052,161005
2022-09-17,525357,425827,174781
2022-09-16,478490,280948,298615
2022-09-15,450265,248136,300176
2022-09-14,422144,269652,247845
2022-09-13,376254,248481,220061
2022-09-12,343323,228780,203318
2022-09-11,351415,241710,194613
2022-09-10,362575,250775,197560
2022-09-09,376811,259542,207361
2022-09-08,363989,246412,204381
2022-09-07,337706,222930,207353
2022-09-06,359784,242978,213055
2022-09-05,376352,264448,203937
2022-09-04,456480,357143,177576
2022-09-03,395269,288215,189472
2022-09-02,375195,258389,205167
2022-09-01,347443,227963,213118
2022-08-31,339039,224590,209273
2022-08-30,326668,212164,200470
2022-08-29,330431,221878,193217
2022-08-28,349795,248924,176096
2022-08-27,354515,249384,188971
2022-08-26,338276,230684,192621
2022-08-25,365360,251114,203814
2022-08-24,349663,242414,191630
2022-08-23,344408,239755,189714
2022-08-22,334229,230010,187538
2022-08-21,376639,266666,192974
2022-08-20,353873,244014,191393
2022-08-19,354617,239354,207449
2022-08-18,384756,276458,200777
2022-08-17,382641,268830,202575
2022-08-16,375433,266275,198418
2022-08-15,341917,229328,201518
2022-08-14,367271,257879,194260
2022-08-13,381725,268846,205031
2022-08-12,370505,252243,217051
2022-08-11,350115,230388,216431
2022-08-10,382934,264226,222188
2022-08-09,369480,252386,215579
2022-08-08,384041,262156,222404
2022-08-07,431273,304726,218874
2022-08-06,441449,319048,218085
2022-08-05,425758,297499,219717
2022-08-04,733711,588900,236184
2022-08-03,448025,281740,255309
2022-08-02,410040,266254,238219
2022-08-01,522571,372137,242679
2022-07-31,413154,301728,202425
2022-07-30,426626,303865,219493
2022-07-29,419804,297372,221910
2022-07-28,392669,260613,233789
2022-07-27,414841,255394,253954
2022-07-26,934217,799397,239643
2022-07-25,492634,373542,225746
2022-07-24,386856,275460,205813
2022-07-23,388109,270188,212305
2022-07-22,414645,288312,228819
2022-07-21,394531,271594,224006
2022-07-20,377049,250952,231289
2022-07-19,365092,239507,230541
2022-07-18,389230,262168,232167
2022-07-17,434570,324840,199443
2022-07-16,472324,358661,211989
2022-07-15,435506,317324,224911
2022-07-14,400792,287461,216034
2022-07-13,369729,257338,205556
2022-07-12,338173,218120,211349
2022-07-11,333223,217528,203643
2022-07-10,386507,259733,229229
2022-07-09,374526,245263,226132
2022-07-08,362485,234245,237145
2022-07-07,370642,240274,241163
2022-07-06,357126,223423,236669
2022-07-05,342862,219805,216914
2022-07-04,346177,231040,211724
2022-07-03,361070,246533,207851
2022-07-02,398253,259987,241178
2022-07-01,369773,231096,241268
2022-06-30,311322,200969,208642
2022-06-29,297063,182304,209268
2022-06-28,296327,185647,199794
2022-06-27,319091,209900,214521
2022-06-26,276027,180329,185261
2022-06-25,289908,190271,189178
2022-06-24,322046,205278,208271
2022-06-23,299993,192531,201016
2022-06-22,316573,206704,207806
2022-06-21,317308,208525,200660
2022-06-20,330352,211566,206612
2022-06-19,326722,212720,202585
2022-06-18,335069,201265,232359
2022-06-17,349578,227035,216390
2022-06-16,355123,217083,238762
2022-06-15,335041,190493,247350
2022-06-14,351969,196636,262478
2022-06-13,360643,202512,270017
2022-06-12,326791,205110,219635
2022-06-11,347877,219853,233565
2022-06-10,342044,205036,241911
2022-06-09,317677,195705,220482
2022-06-08,302255,186402,211593
2022-06-07,318373,197821,219132
2022-06-06,324918,206555,220849
2022-06-05,300453,190970,203865
2022-06-04,304636,190116,207311
2022-06-03,321359,199868,224977
2022-06-02,323635,201575,225880
2022-06-01,351333,227921,233602
2022-05-31,384481,258165,237231
2022-05-30,324402,205079,214012
2022-05-29,380107,263795,229118
2022-05-28,388546,269540,222796
2022-05-27,345056,219242,236633
2022-05-26,328832,198927,231414
2022-05-25,359741,230188,234293
2022-05-24,378544,255942,223480
2022-05-23,366978,242478,226051
2022-05-22,363240,249146,205796
2022-05-21,387430,266726,219100
2022-05-20,371737,245893,227989
2022-05-19,381123,257656,221043
2022-05-18,413882,269897,248974
2022-05-17,382977,244111,244186
2022-05-16,408104,268018,245209
2022-05-15,392050,258505,234144
2022-05-14,412962,260460,259939
2022-05-13,528757,352397,296235
2022-05-12,515165,329570,294559
2022-05-11,390808,229636,273095
