date,addresses_count_active,addresses_count_sender,addresses_count_receiver
2024-01-19,354641,241475,225488
2024-01-18,336265,226326,219702
2024-01-17,325431,225737,208677
2024-01-16,324110,220304,216424
2024-01-15,334323,231248,210532
2024-01-14,262915,177662,173309
2024-01-13,324233,233808,198020
2024-01-12,404268,303337,219946
2024-01-11,424295,316876,233451
2024-01-10,455087,352776,233283
2024-01-09,334166,240248,205510
2024-01-08,333537,232403,209777
2024-01-07,397888,311522,230608
2024-01-06,315861,215982,200012
2024-01-05,322539,219930,208961
2024-01-04,326035,222662,210345
2024-01-03,322099,219091,209832
2024-01-02,350242,250710,208703
2024-01-01,382711,304064,174632
2023-12-31,321899,243808,192783
2023-12-30,341629,251200,198873
2023-12-29,326824,228824,210375
2023-12-28,387733,280345,226244
2023-12-27,351049,249111,214273
2023-12-26,340915,236150,208676
2023-12-25,327924,235893,191783
2023-12-24,336886,239230,202591
2023-12-23,345454,244028,211373
2023-12-22,397982,296188,222170
2023-12-21,402186,298885,232328
2023-12-20,404437,304166,259499
2023-12-19,362343,261832,240204
2023-12-18,326204,214262,221113
2023-12-17,310631,220514,195726
2023-12-16,301383,204739,201279
2023-12-15,332994,226124,222725
2023-12-14,335751,224265,221988
2023-12-13,306556,200963,202519
2023-12-12,322559,215285,210837
2023-12-11,314833,205358,205179
2023-12-10,325628,229661,199758
2023-12-09,349161,244938,215355
2023-12-08,370792,258366,222435
2023-12-07,346596,238167,214199
2023-12-06,334374,225038,213308
2023-12-05,333459,229900,210555
2023-12-04,349256,244715,205162
2023-12-03,307004,221515,180609
2023-12-02,302595,220405,178112
2023-12-01,321689,231667,196479
2023-11-30,306018,211109,197033
2023-11-29,300056,207251,191273
2023-11-28,296130,201075,191595
2023-11-27,286180,193425,184455
2023-11-26,281485,195204,176972
2023-11-25,286128,203179,178398
2023-11-24,314465,222076,193527
2023-11-23,322762,228283,201824
2023-11-22,330205,231342,205835
2023-11-21,316886,213242,205956
2023-11-20,312493,217032,196099
2023-11-19,280456,203715,169170
2023-11-18,275656,195427,170962
2023-11-17,292210,206319,180141
2023-11-16,303727,209371,193633
2023-11-15,294878,203760,185796
2023-11-14,278945,192388,177487
2023-11-13,280243,196656,177191
2023-11-12,286980,202981,174409
2023-11-11,303769,212818,185198
2023-11-10,343013,247580,200242
2023-11-09,334741,235166,200543
2023-11-08,296522,205394,185989
2023-11-07,292437,201004,185546
2023-11-06,279412,191126,179065
2023-11-05,270872,196466,164038
2023-11-04,272092,197108,168279
2023-11-03,288868,202861,182234
2023-11-02,288852,200512,183090
2023-11-01,298761,213788,184216
2023-10-31,300270,209788,192864
2023-10-30,300528,218482,177430
2023-10-29,283518,215930,156477
2023-10-28,276999,205946,164246
2023-10-27,287547,210001,175852
2023-10-26,309795,222442,194945
2023-10-25,301517,208775,193042
2023-10-24,317413,220506,198852
2023-10-23,295778,209330,180864
2023-10-22,280603,211707,157882
2023-10-21,276614,209188,160835
2023-10-20,325019,249293,172590
2023-10-19,266094,196264,162544
2023-10-18,278563,207386,165165
2023-10-17,279548,206867,164809
2023-10-16,278406,199534,168441
2023-10-15,263446,202240,143984
2023-10-14,255373,186641,154371
2023-10-13,287730,215174,165023
2023-10-12,289113,213195,167183
2023-10-11,296759,221010,164097
2023-10-10,275725,200490,163131
2023-10-09,278474,194519,174803
2023-10-08,260961,188111,159465
2023-10-07,306351,229646,180619
2023-10-06,287307,209212,170717
2023-10-05,272054,193922,169767
2023-10-04,285455,213092,168324
2023-10-03,276421,203711,167912
2023-10-02,269986,193042,170028
2023-10-01,263780,201316,152647
2023-09-30,281960,218753,168895
2023-09-29,306971,230831,179617
2023-09-28,311898,234491,180661
2023-09-27,310169,222375,189047
2023-09-26,295383,211510,184397
2023-09-25,290585,211887,175424
2023-09-24,267779,204392,157046
