date,open,high,low,close,volume
2023-10-27,1803.45067177,1804.73984144,1743.85518466,1779.76702578,511685.88153636816
2023-10-26,1787.78250295,1867.88471251,1757.27508252,1803.68285058,829704.9822547914
2023-10-25,1784.91499097,1818.73651014,1760.01450527,1787.2061028,650755.1215714196
2023-10-24,1766.26367836,1854.43563229,1736.30289945,1784.93183987,1281603.4942949666
2023-10-23,1663.9756051,1802.02221423,1655.85032277,1764.50658921,1144738.3243743363
2023-10-22,1629.38549697,1668.01269868,1620.36151097,1663.64647388,397631.600004651
2023-10-21,1604.9636016,1644.89900771,1591.12648763,1629.09643735,306980.41222690383
2023-10-20,1566.42027519,1631.41350122,1560.028603,1603.84727362,579246.1895124341
2023-10-19,1563.50998387,1575.02118134,1540.37287541,1566.50125245,357630.52490229346
2023-10-18,1564.18094726,1585.00819629,1555.48552282,1564.06685196,318963.2838718827
2023-10-17,1599.58924342,1601.09614409,1550.32218166,1565.60492417,369816.4192322794
2023-10-16,1557.33943872,1645.06775771,1554.52681168,1600.17310338,803182.320341293
2023-10-15,1555.38160066,1567.98360574,1546.38949989,1558.16548988,186763.17445423393
2023-10-14,1552.37410394,1561.91271411,1543.10009131,1555.08859003,149384.84198142716
2023-10-13,1540.55617008,1575.95312577,1537.14735838,1552.04926854,344306.91192503064
2023-10-12,1566.52072886,1568.23089652,1519.90670348,1539.55678121,437855.2579361106
2023-10-11,1567.56953082,1578.54770429,1543.46097094,1567.07519204,444877.84332446224
2023-10-10,1580.02034376,1595.55419426,1549.85951191,1567.36465551,447976.173928681
2023-10-09,1632.06122288,1636.96166554,1547.09123774,1581.80600855,667488.6587025893
2023-10-08,1633.19418709,1641.67345091,1614.54648612,1633.69145099,226924.68651871473
2023-10-07,1644.22787612,1649.28724787,1629.18004691,1634.58177941,158296.57116923976
2023-10-06,1611.90293359,1662.68514183,1611.51800592,1645.82048215,374407.56872017763
2023-10-05,1646.67984389,1655.53474599,1607.07250769,1611.74049398,416363.1040611424
2023-10-04,1656.92344448,1657.90684448,1617.89182687,1646.32819985,390929.39656485233
2023-10-03,1662.18998306,1671.852852,1643.11224473,1657.53534869,334311.0915404084
2023-10-02,1732.94014193,1745.33308394,1636.49888076,1662.58756235,731493.9084546653
2023-10-01,1671.046788,1767.94587323,1667.50556608,1734.28378932,420571.55030993355
2023-09-30,1667.49906037,1694.91739591,1664.97495948,1670.45405714,240447.63182151027
2023-09-29,1653.02914336,1688.81945379,1648.15066023,1667.07454552,488274.92762277595
2023-09-28,1599.25620193,1669.01794197,1597.10203916,1652.76431954,645157.0948553662
2023-09-27,1594.11202576,1635.24693256,1582.38824416,1597.67499222,481804.3582329462
2023-09-26,1588.16832404,1599.9932722,1566.71748486,1593.31670981,229598.39788862303
2023-09-25,1580.58059001,1598.1899818,1562.2907377,1589.0060015,320226.9578525368
2023-09-24,1594.02659719,1601.26637038,1567.3653479,1582.36134983,211195.07040731254
2023-09-23,1592.57914052,1598.42921198,1585.62566544,1593.57482421,103145.78646305218
2023-09-22,1583.88513141,1603.10452269,1574.24601931,1593.04302124,222300.22467647708
2023-09-21,1622.24849295,1626.10018146,1567.74255252,1584.01782606,434543.78050524596
2023-09-20,1642.08080268,1649.71061739,1603.44903663,1622.01339103,412287.7075797698
2023-09-19,1637.04209862,1662.56050727,1626.20677731,1643.41428107,318757.6274668192
2023-09-18,1621.65757437,1669.51327223,1603.95858823,1635.69117528,479252.09611517447
2023-09-17,1634.60277751,1636.15828849,1610.70937528,1622.81805903,195694.09005049444
2023-09-16,1641.33060458,1652.91667447,1630.0345542,1634.67831217,162563.63813614988
2023-09-15,1626.77089797,1654.20510481,1610.82736962,1640.83233361,310735.4950410054
2023-09-14,1607.8573574,1644.55761018,1605.70028833,1626.50879177,456497.97590714763
2023-09-13,1593.43600557,1618.9527653,1581.24640257,1607.8610743,385859.17764875724
2023-09-12,1551.76761815,1628.07049683,1549.24815925,1592.94219616,571248.7079336848
2023-09-11,1618.14503838,1620.03746694,1530.62792781,1551.35992792,736477.9623253664
2023-09-10,1636.26381842,1636.37709054,1595.62615689,1616.64769629,335240.89288838115
2023-09-09,1637.04460347,1638.46885413,1629.52053945,1635.27867867,90214.06458114741
2023-09-08,1647.317466,1658.98586753,1615.74123027,1636.39232498,372668.08363656397
2023-09-07,1632.09617208,1660.74137373,1622.52504672,1647.38321423,387048.3721100646
2023-09-06,1633.60962665,1671.36624769,1608.82704907,1632.42401517,397587.0098288533
2023-09-05,1630.60728618,1649.32092111,1609.41558804,1634.1542725,330100.0296833538
2023-09-04,1635.58203979,1644.44383248,1616.52372993,1630.91701221,268248.1184937624
2023-09-03,1637.05960597,1647.35652707,1624.32527318,1636.59178141,193631.83345026989
2023-09-02,1629.18708344,1645.43958021,1627.63241662,1636.61670463,166100.09783762542
2023-09-01,1645.60756705,1654.64539782,1601.6360075,1628.94159619,506785.1466466651
2023-08-31,1705.31375526,1728.62512654,1629.44997296,1645.36353225,607412.1493830486
2023-08-30,1729.15683033,1731.62228276,1695.1281563,1705.14129019,335814.4555552271
2023-08-29,1653.81912067,1747.2037785,1638.54282812,1728.69623061,848729.708077995
2023-08-28,1658.17397408,1664.77883484,1620.33497519,1652.03002662,353264.60625909735
2023-08-27,1647.79540111,1661.24235629,1645.55633595,1657.54163003,131565.107328347
2023-08-26,1654.16454426,1657.27169828,1643.26845794,1646.31555569,117819.76589465787
2023-08-25,1662.29574356,1678.40452775,1634.90620197,1655.19899861,404401.8099168484
2023-08-24,1680.2817408,1683.83708236,1633.39459412,1662.09536059,384580.7793545664
2023-08-23,1635.49903253,1702.21197284,1628.94356175,1679.19514695,631020.3960876666
2023-08-22,1667.25815029,1669.77755367,1578.78766575,1634.21185432,653016.6983580823
2023-08-21,1684.86525942,1688.82079227,1648.7653273,1667.53625412,401420.5742205411
2023-08-20,1669.36627189,1743.1583791,1654.11569069,1685.27770013,297225.0617995842
2023-08-19,1661.22469583,1697.10570089,1650.4249145,1669.91620114,407617.5708476918
